vg_name,developer,year_released,avg_score,num_reviews,country,est,status,genre,NA_sales,EU_sales,Japan_sales,Nonspec_sales,Tot_sales
Nights of Azure 2,Gust,2017,65.71,21.0,Japan,1993.0,Subsidiary,Action,0.04,0.0,0.04,0.01,0.09
Nitroplus Blasterz: Heroines Infinite Duel,Examu,2016,69.53,30.0,Japan,1999.0,Independent,Fighting,0.01,0.01,0.03,0.0,0.05
 No Heroes Allowed! VR,Sony Interactive Entertainment,2017,73.0,5.0,USA,1994.0,Subsidiary,Strategy,0.0,0.0,0.02,0.0,0.02
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,Koei Tecmo Games (formerly Koei),2015,79.12,16.0,Japan,1978.0,Subsidiary,Strategy,0.03,0.0,0.06,0.01,0.09
Odin Sphere: Leifthrasir,Vanillaware,2016,86.78,36.0,Japan,2002.0,Independent,Role-Playing,0.14,0.07,0.09,0.04,0.34
Okami,Capcom,2017,88.15,20.0,Japan,1979.0,Independent,Action,0.16,0.12,0.03,0.06,0.36
Omega Quintet,Compile Heart,2015,57.86,21.0,Japan,2006.0,Subsidiary,Role-Playing,0.0,0.0,0.02,0.0,0.03
One Piece: Burning Blood,Bandai,2016,64.64,25.0,Japan,1950.0,Subsidiary,Fighting,0.21,0.26,0.09,0.09,0.65
One Piece: Pirate Warriors 3,Bandai,2015,75.0,20.0,Japan,1950.0,Subsidiary,Action,0.11,0.22,0.11,0.06,0.52
One Piece: Unlimited World Red,Bandai,2017,80.0,1.0,Japan,1950.0,Subsidiary,Action,0.0,0.0,0.01,0.0,0.01
Onechanbara Z2: Chaos,Tamsoft,2015,57.83,29.0,Japan,1992.0,Independent,Action,0.16,0.03,0.05,0.04,0.28
Overwatch,Blizzard Entertainment,2016,90.87,23.0,USA,1991.0,Subsidiary,Shooter,1.84,1.8,0.17,0.73,4.54
Pac-Man Championship Edition 2 + Arcade Game Series,Bandai,2016,77.8,15.0,Japan,1950.0,Subsidiary,Action,0.08,0.0,0.0,0.02,0.1
PaRappa the Rapper Remastered,Sony Interactive Entertainment,2017,60.73,15.0,USA,1994.0,Subsidiary,Music,0.0,0.0,0.02,0.0,0.02
Patapon Remastered,Sony Interactive Entertainment,2017,77.25,12.0,USA,1994.0,Subsidiary,Music,0.0,0.0,0.02,0.0,0.02
Payday 2,Overkill Software,2015,69.07,14.0,Sweden,2009.0,Subsidiary,Shooter,0.12,0.14,0.0,0.05,0.32
Persona 5,Atlus,2017,93.3,58.0,Japan,1986.0,Subsidiary,Role-Playing,0.62,0.34,0.48,0.2,1.64
