vg_name,developer,year_released,avg_score,num_reviews
Batman: The Enemy Within - Episode 5: Same Stitch,Telltale Games,2018,86.67,6.0
Batman: The Enemy Within - The Telltale Series,Telltale Games,2017,80.0,2.0
Batman: The Telltale Series,Telltale Games/Warner Bros. Interactive Entertainment,2016,69.17,6.0
Batman: The Telltale Series - Episode 1: Realm of Shadows,Telltale Games,2016,72.87,15.0
Batman: The Telltale Series - Episode 2: Children of Arkham,Telltale Games,2016,69.67,9.0
Batman: The Telltale Series - Episode 3: New World Order,Telltale Games,2016,78.64,7.0
Batman: The Telltale Series - Episode 4: Guardian of Gotham,Telltale Games,2016,75.17,6.0
Batman: The Telltale Series - Episode 5: City of Light,Telltale Games,2016,71.31,8.0
Battalion Commander,A-steroids,2016,20.0,1.0
Battle Ages,DR Studios/505 Games,2016,20.0,1.0
Battle Chasers: Nightwar,Airship Syndicate Entertainment/THQ Nordic,2017,76.46,23.0
Battle Chef Brigade,Trinket Studios/Adult Swim,2018,77.5,4.0
Battle Islands,505 Games,2014,20.0,1.0
Battle Princess Madelyn,Causal Bit Games,2018,63.43,7.0
Battle Trivia Knockout,Happy Dance Games,2015,63.8,5.0
Battle Worlds: Kronos,KING Art/Nordic Games Publishing,2016,64.29,7.0
Battleborn,Gearbox Software/2K Games,2016,69.21,36.0
Battleborn - Attikus and the Thrall Rebellion,Gearbox Software/2K Games,2016,70.0,1.0
Battlefield 1,EA DICE/EA Games,2016,87.91,22.0
Battlefield 1: Apocalypse,EA DICE/Electronic Arts,2018,70.0,1.0
Battlefield 1: They Shall Not Pass,EA DICE/Electronic Arts,2017,70.0,2.0
Battlefield 4,EA DICE/Electronic Arts,2013,85.0,10.0
Battlefield 4: Dragon's Teeth,EA DICE/Electronic Arts,2014,80.0,1.0
Battlefield 4: Final Stand,EA DICE/Electronic Arts,2014,70.0,1.0
Battlefield Hardline,Visceral Games/Electronic Arts,2015,73.16,38.0
Battlefield V,EA DICE/Electronic Arts,2018,74.31,16.0
Battleship,Frima Studio/Ubisoft,2016,70.0,1.0
Battlestar Galactica Deadlock,Black Lab Games/Slitherine,2017,78.6,5.0
Battlestar Galactica Deadlock: Anabasis,Black Lab Games/Slitherine,2018,90.0,1.0
Battlewake,Survios,2019,70.0,2.0
Battlezone,Rebellion/Sony Interactive Entertainment,2016,67.68,28.0
Beach Buggy Racing,Vector Unit,2015,50.0,1.0
Bear With Me: The Complete Collection,Exordium Games/Modus Games,2019,75.0,2.0
Bears Can't Drift!?,Strangely Named Studio,2016,60.0,2.0
Beast Quest,Maximum Games,2018,26.67,3.0
Beat Cop,Pixel Crow/11 bit studios,2019,66.25,4.0
Beat Saber,Hyperbolic Magnetism/Beat Games s.r.o.,2018,86.36,11.0
Bedlam: The Game by Christopher Brookmyre,Standfast Interactive/Vision Games Publishing LTD,2015,53.15,20.0
Beholder: Complete Edition,Warm Lamp Games/Curve Digital,2018,64.83,6.0
Ben 10,Outright Games,2017,47.5,2.0
Bendy and the Ink Machine,TheMeatly Games,2018,80.6,5.0
Berserk and the Band of the Hawk,Omega Force/Koei Tecmo Games,2017,67.47,38.0
Beyond Eyes,tiger & squid/Team 17,2015,59.29,7.0
Beyond: Two Souls,Quantic Dream/Sony Interactive Entertainment,2015,73.14,11.0
Big Bash Boom,Big Ant Studios,2018,55.0,2.0
Big Crown: Showdown,Hyper Luminal Games Ltd,2018,70.0,1.0
Binaries,Ant Workshop Ltd/Ground Shatter Ltd.,2016,73.33,3.0
BioShock: The Collection,2K Games,2016,83.35,20.0
Bird Game +,Bryan Tabor/Ratalaika Games,2019,55.0,1.0
Birthdays the Beginning,Arc System Works,2017,67.59,17.0
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,Gaijin Games/Limited Run Games,2016,95.0,2.0
Black & White Bushido,Good Catch/Green Man Loaded,2017,66.8,5.0
Black Clover: Quartet Knights,ilinx inc./Bandai Namco Games,2018,50.0,1.0
Black Desert,Pearl Abyss,2019,63.75,4.0
Black Mirror,THQ Nordic,2017,57.71,7.0
Black Paradox,Fantastico Studio/Digerati Distribution,2019,80.0,1.0
Black The Fall,Sand Sailor Studio/Square Enix,2017,68.08,13.0
Blacklight: Retribution,Zombie Studios,2013,61.67,9.0
Blacksea Odyssey,Blacksea Odyssey/Digerati Distribution,2018,37.5,2.0
Blackwood Crossing,PaperSeven/Vision Games Publishing LTD,2017,71.67,12.0
Blade & Bones,Coffee Addict Studio,2017,70.0,1.0
Blade Ballet,DreamSail Games,2016,65.0,3.0
Blade Strangers,Studio Saizensen/Nicalis,2018,77.0,5.0
Bladestorm: Nightmare,Omega Force/Koei Tecmo Games,2015,57.3,23.0
Blasphemous,The Game Kitchen,2019,78.75,4.0
Blast 'Em Bunnies,Nnooo,2016,80.0,2.0
Blast Zone! Tournament,Victory Lap Games,2019,65.0,1.0
Blasters of the Universe,Secret Location,2018,77.12,8.0
BlazBlue: Central Fiction,Arc System Works,2016,83.53,15.0
BlazBlue: Chrono Phantasma Extend,Arc System Works,2015,80.41,11.0
BlazBlue: Cross Tag Battle,Arc System Works,2018,77.84,19.0
BlazeRush,Targem Games,2015,67.5,2.0
Blazing Chrome,JoyMasher/The Arcade Crew,2019,74.44,9.0
Bleed,BootdiskRevolution/Digerati Distribution,2017,75.0,2.0
Bleed 2,BootdiskRevolution/EastAsiaSoft,2018,78.6,5.0
Blind,Tiny Bull Studios/Surprise Attack,2018,57.86,7.0
Blood & Truth,SCEE London Studio/Sony Interactive Entertainment,2019,81.44,34.0
Blood Bowl 2,Cyanide/Focus Home Interactive,2015,72.94,16.0
Blood Waves,Sometimes You,2019,45.0,1.0
Bloodborne,From Software/SCEI,2015,90.66,74.0
Bloodborne: The Old Hunters,From Software/SCEE,2015,86.75,38.0
Bloodstained: Curse of the Moon,Inti Creates,2018,77.5,2.0
Bloodstained: Ritual of the Night,ArtPlay/505 Games,2019,83.63,27.0
Bloody Zombies,nDreams,2017,80.0,3.0
Blue Estate,HeSaw/Focus Home Interactive,2014,54.2,20.0
Blue Reflection,Gust/Koei Tecmo Games,2017,69.77,22.0
Blue Rider,Ravegan/EastAsiaSoft,2016,66.33,3.0
Blue-Collar Astronaut,Mutated Software,2017,47.5,2.0
Blues and Bullets - Episode 1: The End of Peace,A Crowd of Monsters,2016,88.33,3.0
Blues and Bullets - Episode 2: Shaking The Hive,A Crowd of Monsters,2016,90.0,1.0
Boggle,Frima Studio/Ubisoft,2015,40.0,2.0
Bomber Crew,Runner Duck/Curve Digital,2018,80.0,1.0
BOMBFEST,Sudden Event Studios/Whitethorn Digital,2019,80.0,1.0
Bombing Busters,Sanuk Games,2015,60.0,1.0
Borderlands 2 VR,Gearbox Software/2K Games,2018,72.43,14.0
Borderlands 3,Gearbox Software/2K Games,2019,81.57,7.0
Borderlands: Game of the Year Edition,Take-Two Interactive/Gearbox Publishing,2019,75.83,6.0
Borderlands: The Handsome Collection,Iron Galaxy Studios/2K Games,2015,84.03,31.0
Bounce Rescue!,Bitecore,2016,60.0,4.0
Bouncy Bullets,Ratalaika Games,2019,70.0,2.0
Bound,Plastic Studios/Sony Interactive Entertainment,2016,71.34,37.0
Bound by Flame,Spiders/Focus Home Interactive,2014,57.54,35.0
Boundless,Wonderstruck Games/Square Enix,2018,77.5,2.0
Bow to Blood,Tribetoy,2018,81.67,3.0
Bow to Blood: Last Captain Standing,Tribetoy,2019,72.5,2.0
BOXVR,FitXR,2019,85.0,1.0
Bravo Team,Supermassive Games/Sony Interactive Entertainment,2018,37.64,14.0
BRAWL,Bloober Team,2015,63.75,12.0
Brawlhalla,Blue Mammoth Games,2017,70.0,1.0
Brawlout,Angry Mob Games,2018,61.6,5.0
Breach & Clear: Deadline,Mighty Rabbit Studios/Limited Run Games,2016,70.0,1.0
