Developer,Country,Est.,Status
Ninja Theory,England,2000,Subsidiary
Nintendo,Japan,1889,Independent
Nippon Ichi Software,Japan,1991,Independent
Nival,Russia,1996,Independent
Nordeus,Serbia,2009,Independent
NovaLogic,US,1985,Defunct
Novarama,Spain,2003,Independent
Now Production,Japan,1986,Independent
n-Space,USA,1994,Defunct
Obsidian Entertainment,USA,2004,Subsidiary
Oddworld Inhabitants,USA,1994,Independent
Omega Force,Japan,1997,Subsidiary
Origin Systems,US,1983,Defunct
OtherSide Entertainment,USA,2013,Independent
Outrage Entertainment,US,1996,Defunct
Overkill Software,Sweden,2009,Subsidiary
Oxygen Studios,England,2006,Defunct
Page 44 Studios,USA,1998,Defunct
Pangea Software,USA,1987,Independent
People Can Fly,Poland,2002,Independent
Project Sora,Japan,2009,Defunct
Papaya Studio,USA,1999,Defunct
Project Soul,Japan,1996,Subsidiary
Panther Games Pty Ltd,Australia,1985,Independent
Paradox Development Studio,Sweden,1995,Subsidiary
Parallax Software,USA,1993,Defunct
Pandemic Studios,USA,1998,Defunct
Pendulab Private,Singapore,2001,Independent
Pendulo Studios,Spain,1993,Independent
Penguin Software,USA,1978,Defunct
Perfect World,China,2004,Independent
Petroglyph,USA,2003,Independent
Phantagram,South Korea,1994,Subsidiary
Phenomic Game Development,Germany,1997,Defunct
Pipeworks Studios,USA,1999,Subsidiary
Piranha Bytes,Germany,1997,Subsidiary
Piranha Games,Canada,2000,Independent
Pi Studios,US,2002,Defunct
Pivotal Games,England,2000,Defunct
Pixel Press,US,2013,Independent
Pixel Federation,Slovakia,2007,Independent
Playdom,US,2009,Defunct
Playfish,England,2007,Defunct
PlayFirst,US,2004,Subsidiary
Playground Games,England,2009,Subsidiary
PlatinumGames,Japan,2006,Independent
Polyphony Digital,Japan,1998,Subsidiary
PopCap Games,USA,2000,Subsidiary
Press Play,Denmark,2006,Defunct
Psyonix,USA,2001,Subsidiary
Punch Entertainment,Vietnam,2005,Subsidiary
Pyro Mobile,Spain,1996,Subsidiary
Q Entertainment,Japan,2003,Independent
Q-Games,Japan,2001,Independent
Quantic Dream,France,1997,Independent
Radical Entertainment,Canada,1991,Defunct
Rage Games,England,1992,Defunct
Rainbow Studios,USA,1996,Defunct
Rare,England,1985,Subsidiary
Raven Software,USA,1990,Subsidiary
Ready at Dawn,US,2003,Independent
Red Entertainment,Japan,"1976 (as the Red Company), 2000 (as Red Entertainment)",Subsidiary
Reality Pump Studios,Poland,1995,Subsidiary
Realtime Associates,US,1986,Independent
Realtime Worlds,Scotland,2002,Defunct
Rebellion Developments,England,1992,Independent
Rebellion Warwick,England,2013,Subsidiary
RedLynx,Finland,2000,Subsidiary
Red Thread Games,Norway,2012,Independent
Red Storm Entertainment,US,1996,Subsidiary
RedTribe (Tribalant),Australia,2003,Defunct
Reflexive Entertainment,US,1997,Defunct
Relic Entertainment,Canada,1997,Subsidiary
Remedy Entertainment,Finland,1995,Independent
Respawn Entertainment,US,2010,Subsidiary
Reto-Moto,Denmark,2008,Independent
Retro Studios,US,1998,Subsidiary
Revolution Software,England,1990,Independent
Riot Games,US,2006,Subsidiary
Rising Star Games,England,2004,Subsidiary
Robot Entertainment,US,2009,Independent
Rockstar GamesRockstar IndiaRockstar LeedsRockstar LincolnRockstar LondonRockstar New EnglandRockstar NorthRockstar San DiegoRockstar Toronto,USIndiaEnglandEnglandEnglandUSScotlandUSCanada,199820162004200220052008200220021999,Subsidiary
Rocksteady Studios,England,2005,Subsidiary
Robinson Technologies,Japan,,Independent
Rovio Entertainment,Finland,2003,Independent
